id,start,destination,price
1,Evansville,Chesapeake,865.2
2,Milwaukee,Akron,2442.37
3,Thousand Oaks,Saginaw,2215.5
4,Scranton,Cary,2232.97
5,Mesquite,Escondido,216.55
6,Hagerstown,Bel Air,330.11
7,Hampton,Chandler,115.61
8,Winston,Baltimore,374.21
9,Fort Walton Beach,South Lyon,1345.41
10,Myrtle Beach,Santa Maria,1536.03
11,Oakland,North Port,769.12
12,Lakeland,Fayetteville,993.02
13,Fort Wayne,Coral Springs,1274.19
14,Punta Gorda,Grand Rapids,2327.08
15,El Monte,Norwalk,341.96
16,Memphis,Miami,1529.8
17,Palm Springs,Kalamazoo,93.05
18,Norwich,New York,732.34
19,Rancho Cucamonga,Buffalo,1624.76
20,Jacksonville,Durham,2042.26
21,Trenton,Cape Coral,1507.4
22,Sunnyvale,Moreno Valley,348.19
23,High Point,Kenosha,144.35
24,Palm Bay,Cedar Rapids,1248.92
25,San Antonio,Waco,1441.89
26,Santa Ana,Waco,1770.74
27,Richmond,Boston,1048.33
28,Richmond County,Fort Lauderdale,2217.33
29,San Buenaventura,Round Lake Beach,1019.04
30,Pueblo,Saint Petersburg,222.38
31,Fargo,Salinas,1581.23
32,Huntington Beach,Sioux City,2037.95
33,Vero Beach,Abilene,787.38
34,Shreveport,Allentown,54.51
35,Billings,Lansing,2412.89
36,Evansville,Brighton,1711.69
37,Philadelphia,Lansing,1487.72
38,Charleston,Houston,2159.15
39,Charleston,Richmond,2398.79
40,Norfolk,Wichita,2052.61
41,Santa Rosa,Monroe,2087.68
42,Warren,Lakeland,2400.39
43,Rockford,Newport News,448.4
44,Panama City,Havre de Grace,1966.31
45,Albuquerque,Independence,2008.34
46,Chula Vista,Chattanooga,1028.15
47,Arlington,Pasadena,537.82
48,Dallas,Omaha,2035.82
49,Brownsville,McHenry,2027.59
50,Milwaukee,Santa Barbara,1598.3
51,Fort Worth,Eugene,1569.04
52,Corona,Clarke County,81.49
53,Dayton,Newport News,1701.45
54,Murrieta,Baltimore,1543.42
55,Scranton,Kansas City,1413.73
56,Tyler,Fort Collins,344.03
57,Bonita Springs,Leominster,2310.62
58,Norfolk,Hialeah,604.87
59,Ontario,Mesa,242.37
60,Saginaw,Ogden,1628.63
61,El Paso,Tacoma,578.18
62,Howell,Concord,843.69
63,Kissimmee,Mesquite,1022.22
64,Davidson County,York,2406.78
65,Gastonia,Oxnard,1246.91
66,Tulsa,Winter Haven,610.4
67,Providence,North Charleston,1982.02
68,Riverside,Deltona,716.84
69,Cathedral City,Aurora,2015.43
70,Moreno Valley,Riverside,1329.8
71,Denver,Warren,1012.42
72,Bonita Springs,Savannah,2060.53
73,Ocala,Erie,1397.18
74,Fremont,McHenry,1938.55
75,Green Bay,San Jose,1015.11
76,Birmingham,Huntington,558.43
77,Virginia Beach,Los Angeles,2375.1
78,Sunnyvale,Mission Viejo,204.08
79,Boise City,Pittsburgh,934.01
80,Evansville,Lake Charles,1343.14
81,Racine,Lansing,2498.18
82,Tallahassee,Baton Rouge,174.84
83,Deltona,Overland Park,1901.72
84,Corona,Vancouver,2236.47
85,Waterbury,Tampa,2292.09
86,Memphis,Havre de Grace,1458.02
87,Jefferson,Hialeah,1255.9
88,Brownsville,St. Paul,915.57
89,Colorado Springs,Appleton,1025.92
90,Boise City,Redding,2343.2
91,Mobile,Orem,1991.35
92,Canton,Antioch,2213.74
93,Moreno Valley,Fargo,1992.01
94,Huntsville,Cathedral City,363.22
95,San Bernardino,San Diego,1591.33
96,Wichita,San Francisco,368.86
97,Alexandria,South Bend,977.92
98,Yakima,Fort Wayne,1032.03
99,Howell,Colorado Springs,1515.46
100,Athens,Seattle,1167.46
101,Norfolk,Shreveport,129.05
102,Houston,Antioch,1112.67
103,San Diego,Scranton,719.75
104,Billings,Marysville,1137.66
105,North Port,Springfield,1591.84
106,Appleton,Mobile,1078.03
107,Canton,Montgomery,408.26
108,Coral Springs,Minneapolis,69.64
109,St. Louis,Norwich,2185.11
110,Huntsville,San Francisco,1481.76
111,Fremont,Syracuse,455.89
112,Huntington,St. Paul,2138.51
113,Chandler,Clarke County,1360.15
114,Arvada,Long Beach,1023.53
115,Carrollton,Santa Ana,554.09
116,Providence,Monterey,1904.73
117,North Port,New Haven,2020.78
118,Atlanta,Hollywood,1981.67
119,Panama City,Myrtle Beach,1684.91
120,Westminster,Westminster,304.52
121,Elizabeth,Greenville,2287.29
122,Madison,Cedar Rapids,2137.66
123,Salinas,Syracuse,164.61
124,Anaheim,Saint Paul,486.62
125,Huntsville,Coral Springs,1463.49
126,Cincinnati,Honolulu,1851.62
127,Sioux Falls,Hesperia,1192.57
128,Tucson,Charleston,1045.92
129,Elizabeth,Vallejo,192.35
130,San Jose,Sioux Falls,925.19
131,Daytona Beach,Reno,2018.14
132,Harrisburg,South Bend,763.15
133,Pittsburgh,Boston,1911.6
134,Howell,Independence,1043.59
135,Kennewick,San Buenaventura,1385.61
136,Danbury,Kenosha,302.97
137,Tyler,Worcester,959.47
138,Brighton,Salt Lake City,813.15
139,Chesapeake,Port Arthur,2003.36
140,McAllen,Fairfield,1454.83
141,Vero Beach,Bellevue,720.91
142,Downey,Chesapeake,1095.29
143,Baltimore,Elkhart,985.23
144,Reno,Santa Clara,1651.97
145,Stamford,Stamford,1534.17
146,Mesa,Utica,638.96
147,Deltona,Odessa,1804.11
148,Oklahoma City,Thornton,2233.86
149,Victorville,Saginaw,2091.4
150,Bakersfield,Utica,1964.48
151,Kansas City,Bridgeport,835.82
152,Oxnard,Roanoke,1216.0
153,Richmond County,Greensboro,1312.97
154,Cape Coral,Tulsa,1748.39
155,Stockton,Jefferson,2061.14
156,Hickory,Hickory,601.15
157,Virginia Beach,West Covina,2274.85
158,Oxnard,Denton,2037.58
159,Palm Springs,Spokane,1756.07
160,Pompano Beach,Danbury,1928.21
161,Bryan,Thornton,1598.4
162,Monterey,Merced,1655.48
163,Anaheim,Port St. Lucie,1783.74
164,Columbus,Los Angeles,1571.88
165,Cleveland,Los Angeles,900.65
166,Cary,Carrollton,859.54
167,Harlingen,Fresno,437.21
168,Muskegon,Topeka,1059.61
169,Evansville,College Station,1833.52
170,Memphis,Cambridge,2421.25
171,Seattle,Medford,512.11
172,Lorain,Akron,1171.84
173,Leominster,Thousand Oaks,357.16
174,Jersey City,Hialeah,165.48
175,Manchester,Frederick,775.53
176,Abilene,Boise,191.76
177,Albuquerque,Boulder,2007.35
178,Los Angeles,Fairfield,1030.31
179,Layton,Duluth,2031.34
180,Philadelphia,New York,348.07
181,Evansville,Joliet,393.01
182,Salt Lake City,West Valley City,1008.79
183,Fairfield,Mission Viejo,2130.6
184,Sioux City,Baltimore,338.31
185,Cambridge,Yakima,380.43
186,Gainesville,Coral Springs,1564.99
187,Joliet,Grayslake,2496.95
188,Hollywood,Layton,374.17
189,Tacoma,Clearwater,1204.91
190,Salt Lake City,Fort Wayne,150.08
191,Scranton,Arvada,1363.95
192,Newburgh,Laredo,2462.03
193,Hialeah,North Las Vegas,939.38
194,New Haven,Portland,1825.2
195,Lakewood,Hayward,1997.18
196,Detroit,Gulfport-Biloxi,443.47
197,Denton,Poughkeepsie,2300.36
198,Boise,Palm Bay,678.23
199,Buffalo,Myrtle Beach,1785.42
200,Charlotte,West Valley City,1315.47
201,Las Vegas,Ogden,478.0
202,Sarasota,Stamford,640.99
203,Tampa,Merced,1020.63
204,Asheville,El Paso,1627.73
205,Elkhart,Des Moines,535.7
206,Garden Grove,Westminster,2450.89
207,Joliet,Lancaster,182.94
208,Hialeah,Beaumont,1101.19
209,Yonkers,Norman,1795.37
210,Salt Lake City,Stockton,1371.09
211,Thousand Oaks,Tyler,763.72
212,Harlingen,Bethlehem,286.66
213,Virginia Beach,Johnson City,1331.1
214,Las Vegas,San Buenaventura,2372.71
215,Eugene,Mission Viejo,1443.86
216,College Station,Tucson,702.88
217,Garden Grove,Waterbury,367.17
218,Denver,Hampton,2115.15
219,Harrisburg,Cleveland,2236.41
220,Brighton,Kissimmee,2100.97
221,College Station,Norman,848.65
222,Pueblo,Johnson City,2395.28
223,Port Orange,Vancouver,1354.19
224,Torrance,Lakeland,1461.16
225,Utica,Corpus Christi,617.58
226,Leominster,Boulder,2179.55
227,Santa Clara,Harlingen,1472.81
228,Saginaw,Tuscaloosa,2372.02
229,Pasadena,Oakland,73.43
230,Fontana,Savannah,1438.25
231,Durham,Boston,2176.72
232,Atlantic City,Seattle,2124.44
233,Louisville,Salt Lake City,500.94
234,Sioux Falls,Cary,1407.36
235,Saint Paul,Roanoke,1208.99
236,Garland,Temecula,416.31
237,Brighton,Daytona Beach,780.69
238,Knoxville,Chesapeake,1106.41
239,Saint Petersburg,Norwich,943.41
240,Killeen,Boise City,2402.13
241,Thornton,Danbury,636.41
242,Joliet,Arlington,2279.6
243,Waco,Aurora,2380.39
244,Henderson,Sarasota,503.97
245,Palmdale,Roanoke,1401.05
246,Moreno Valley,Ann Arbor,1053.92
247,Naperville,Monterey,663.21
248,Waterloo,Fullerton,1215.36
249,Orlando,Arlington,2075.55
250,West Valley City,Brighton,726.38
251,Wilmington,San Jose,2060.4
252,Simi Valley,San Antonio,615.52
253,Independence,Abilene,128.29
254,Bloomington,Aberdeen,1708.91
255,Visalia,Raleigh,2486.55
256,Chandler,Norwich,1808.1
257,Tucson,Hickory,771.27
258,Gilbert,Bakersfield,1626.0
259,Killeen,Kennewick,449.49
260,Tyler,Clearwater,2232.63
261,Knoxville,Vancouver,2247.58
262,Richmond County,Port Arthur,1012.87
263,Eugene,Newport News,2185.05
264,Wichita,Moreno Valley,2002.12
265,North Las Vegas,Tyler,883.1
266,Albany,Boise,920.29
267,Hemet,Scranton,1628.69
268,Syracuse,North Charleston,1590.31
269,Oklahoma City,Pomona,1166.98
270,Akron,Spartanburg,412.37
271,High Point,Vancouver,2102.29
272,Ogden,Palmdale,1585.67
273,Carrollton,Tallahassee,1132.49
274,Honolulu,Flint,2388.52
275,College Station,Cleveland,665.13
276,McAllen,Seattle,1440.07
277,Milwaukee,Punta Gorda,2095.32
278,Allentown,Layton,1118.62
279,Knoxville,Fort Wayne,2176.12
280,Garden Grove,Miramar,997.6
281,Ogden,Providence,189.84
282,Seaside,Duluth,816.26
283,Port Orange,Canton,960.91
284,South Lyon,Sioux City,965.05
285,South Bend,Phoenix,1842.67
286,Escondido,Mesquite,2203.08
287,Glendale,Salem,1098.85
288,Pompano Beach,Fremont,1345.95
289,Seaside,Pittsburgh,1940.46
290,Hemet,Grayslake,1833.28
291,Tulsa,Knoxville,2307.56
292,Port Saint Lucie,Kansas City,2061.14
293,Antioch,Poughkeepsie,912.11
294,Lewisville,Springfield,156.71
295,Aurora,Olympia,341.34
296,Fayetteville,Kaneohe,1759.7
297,Paterson,Leominster,1544.79
298,Huntington Beach,Lansing,1510.23
299,Garland,Pembroke Pines,78.59
300,Albuquerque,Irvine,1380.24
301,Syracuse,Gulfport-Biloxi,505.29
302,Memphis,Bremerton,267.9
303,Lorain,Scranton,1485.32
304,Shreveport,Jersey City,592.47
305,Costa Mesa,Olympia,2493.52
306,Trenton,Aberdeen,1393.67
307,Grand Prairie,Colorado Springs,2180.36
308,Chula Vista,Boise City,144.22
